species,ps.type,little.d13.org,big.D13.org,big.D13.merged,latitude,longitude,author,year
Achillea millefolium,C3,NA,20.6,20.6,40.433,22,Tsialtas_etal,2001
Festuca valida,C3,NA,19.5,19.5,40.433,22,Tsialtas_etal,2001
Lolium perenne,C3,NA,20.9,20.9,40.433,22,Tsialtas_etal,2001
Plantago dubia,C3,NA,20.8333,20.8333,40.433,22,Tsialtas_etal,2001
Poa arida,C3,NA,18.1,18.1,40.433,22,Tsialtas_etal,2001
Taraxacum albidum,C3,NA,21.3,21.3,40.433,22,Tsialtas_etal,2001
Trifolium repens,C3,NA,21.7333,21.7333,40.433,22,Tsialtas_etal,2001
Acacia galpinii,C3,-24.42,NA,17.0280622685194,-22.7,15.8,Schulze_etal,1996
Adenolobus pechuelii,C3,-25.39,NA,17.9980622685194,-22.7,15.8,Schulze_etal,1996
Amphiasma merenskyanum,C3,-24.57,NA,17.1780622685194,-22.7,15.8,Schulze_etal,1996
Cadaba aphylla,C4,-16.93,NA,9.53806226851937,-22.7,15.8,Schulze_etal,1996
Copaiba mopane,C3,-22.54,NA,15.1480622685194,-22.7,15.8,Schulze_etal,1996
Commiphora angolensis,C3,-23.95,NA,16.5580622685194,-22.7,15.8,Schulze_etal,1996
Cryptolepis decidua,C3,-23.3,NA,15.9080622685194,-22.7,15.8,Schulze_etal,1996
Eragrostis nindensis,C4,-12.64,NA,5.24806226851937,-22.7,15.8,Schulze_etal,1996
Euphorbia transvaalensis,CAM,-15.36,NA,7.96806226851937,-22.7,15.8,Schulze_etal,1996
Indigofera auricoma,C3,-25.5,NA,18.1080622685194,-22.7,15.8,Schulze_etal,1996
Maerua parvifolia,C3,-23.93,NA,16.5380622685194,-22.7,15.8,Schulze_etal,1996
Monechma cleomoides,C3,-22.85,NA,15.4580622685194,-22.7,15.8,Schulze_etal,1996
Petalidium engleranum,C3,-24.31,NA,16.9180622685194,-22.7,15.8,Schulze_etal,1996
Polygala guerichiana,C3,-23.73,NA,16.3380622685194,-22.7,15.8,Schulze_etal,1996
Sarcostemma viminale,CAM,-11.67,NA,4.27806226851937,-22.7,15.8,Schulze_etal,1996
Stipagrostis hirtigluma,C4,-12.02,NA,4.62806226851937,-22.7,15.8,Schulze_etal,1996
Stipagrostis hochstetteriana,C4,-12.5,NA,5.10806226851937,-22.7,15.8,Schulze_etal,1996
Terminalia prunioides,C3,-22.02,NA,14.6280622685194,-22.7,15.8,Schulze_etal,1996
Welwitschia mirabilis,CAM,-21.07,NA,13.6780622685194,-22.7,15.8,Schulze_etal,1996
Zygophyllum simplex,C4,-14.5,NA,7.10806226851937,-22.7,15.8,Schulze_etal,1996
Arthraerua leubnitziae,C3,-22.015,NA,14.6231761959089,-22.5,14.6,Schulze_etal,1996
Celosia spathulifolia,C3,-22.33,NA,14.9381761959089,-22.5,14.6,Schulze_etal,1996
Chascanum garipense,C3,-23.14,NA,15.7481761959089,-22.5,14.6,Schulze_etal,1996
Euphorbia phylloclada,C3,-22.38,NA,14.9881761959089,-22.5,14.6,Schulze_etal,1996
Heliotropium oliveranum,C3,-26.04,NA,18.6481761959089,-22.5,14.6,Schulze_etal,1996
Hermannia solaniflora,C3,-23.41,NA,16.0181761959089,-22.5,14.6,Schulze_etal,1996
Hoodia currorii,CAM,-11.71,NA,4.31817619590892,-22.5,14.6,Schulze_etal,1996
Merremia guerichii,C3,-25.46,NA,18.0681761959089,-22.5,14.6,Schulze_etal,1996
Mollugo cerviana,C4,-12.89,NA,5.49817619590892,-22.5,14.6,Schulze_etal,1996
Odyssea paucinervis,C4,-13.24,NA,5.84817619590892,-22.5,14.6,Schulze_etal,1996
Stipagrostis hochstetteriana,C4,-13.6,NA,6.20817619590892,-22.5,14.6,Schulze_etal,1996
Stipagrostis namibensis,C4,-13.9,NA,6.50817619590892,-22.5,14.6,Schulze_etal,1996
Stipagrostis subacaulis,C4,-13.31,NA,5.91817619590892,-22.5,14.6,Schulze_etal,1996
Stipagrostis uniplumis,C4,-13.38,NA,5.98817619590892,-22.5,14.6,Schulze_etal,1996
Cracca capillipes,C3,-23.23,NA,15.8381761959089,-22.5,14.6,Schulze_etal,1996
Welwitschia mirabilis,CAM,-19.66715,NA,12.2753261959089,-22.5,14.6,Schulze_etal,1996
Tetraena stapfii,C3,-23.775,NA,16.3831761959089,-22.5,14.6,Schulze_etal,1996
Protea laurifolia,C3,-25.71,NA,17.8153076378649,-32,19,Lamont_etal,2002
Protea repens,C3,-25.7,NA,17.8053076378649,-32,19,Lamont_etal,2002
Leucadendron brunioides,C3,-25.205,NA,17.3103076378649,-32,21,Lamont_etal,2002
Leucadendron pubescens,C3,-24.6,NA,16.7053076378649,-32,21,Lamont_etal,2002
Protea glabra,C3,-23.47,NA,15.5753076378649,-32,21,Lamont_etal,2002
Protea laurifolia,C3,-25.23,NA,17.3353076378649,-32,21,Lamont_etal,2002
Alnus crispa,C3,-28.3,NA,20.6344417507071,53.5,-105.75,Brooks_etal,1998
Arctostaphylos densiflora,C3,-30.4,NA,22.7344417507071,53.5,-105.75,Brooks_etal,1998
Cornus canadensis,C3,-28.133,NA,20.4674417507071,53.5,-105.75,Brooks_etal,1998
Fragaria australis,C3,-31,NA,23.3344417507071,53.5,-105.75,Brooks_etal,1998
Gaultheria procumbens,C3,-29.4,NA,21.7344417507071,53.5,-105.75,Brooks_etal,1998
Petasites palmatus,C3,-32.8,NA,25.1344417507071,53.5,-105.75,Brooks_etal,1998
Picea mariana,C3,-26.5,NA,18.8344417507071,53.5,-105.75,Brooks_etal,1998
Pinus banksiana,C3,-24.8,NA,17.1344417507071,53.5,-105.75,Brooks_etal,1998
Populus tremuloides,C3,-28.65,NA,20.9844417507071,53.5,-105.75,Brooks_etal,1998
Pyrola secunda,C3,-31.3,NA,23.6344417507071,53.5,-105.75,Brooks_etal,1998
Rosa acicularis,C3,-30.05,NA,22.3844417507071,53.5,-105.75,Brooks_etal,1998
Salix spp,C3,-29.8,NA,22.1344417507071,53.5,-105.75,Brooks_etal,1998
Vaccinium myrtilloides,C3,-30.1,NA,22.4344417507071,53.5,-105.75,Brooks_etal,1998
Vaccinium minus,C3,-29.05,NA,21.3844417507071,53.5,-105.75,Brooks_etal,1998
Viburnum edule,C3,-27.6,NA,19.9344417507071,53.5,-105.75,Brooks_etal,1998
Acacia rostellifera,C3,-28.3,NA,20.4511710326412,-29.817,115.267,Tennakoon_etal,1997
Santalum acuminatum,C3,-27.775,NA,19.9261710326412,-29.817,115.267,Tennakoon_etal,1997
Leucadendron pubescens,C3,-28.3,NA,20.405242564064,-32.4,19.12,Lamont_etal,2002
Leucadendron xanthoconus,C3,-27.535,NA,19.640242564064,-32.4,19.12,Lamont_etal,2002
Paranomus bracteolaris,C3,-26.35,NA,18.455242564064,-32.4,19.12,Lamont_etal,2002
Protea nitida,C3,-26.595,NA,18.700242564064,-32.4,19.12,Lamont_etal,2002
Acacia robynsiana,C3,-25.82,NA,18.4278948697992,-23,15,Schulze_etal,1996
Cleome suffruticosa,C3,-25.22,NA,17.8278948697992,-23,15,Schulze_etal,1996
Euphorbia phylloclada,C3,-21.995,NA,14.6028948697992,-23,15,Schulze_etal,1996
Gisekia africana,C4,-19.81,NA,12.4178948697992,-23,15,Schulze_etal,1996
Heliotropium oliveranum,C3,-24.14,NA,16.7478948697992,-23,15,Schulze_etal,1996
Monechma genistifolium,C3,-22.6,NA,15.2078948697992,-23,15,Schulze_etal,1996
Monechma debile,C3,-21.5,NA,14.1078948697992,-23,15,Schulze_etal,1996
Sesamum schinzianum,C3,-25.36,NA,17.9678948697992,-23,15,Schulze_etal,1996
Stipagrostis hirtigluma,C4,-12.21,NA,4.81789486979921,-23,15,Schulze_etal,1996
Stipagrostis hochstetteriana,C4,-12.69,NA,5.29789486979921,-23,15,Schulze_etal,1996
Stipagrostis subacaulis,C4,-13.31,NA,5.91789486979921,-23,15,Schulze_etal,1996
Stipagrostis uniplumis,C4,-13.24,NA,5.84789486979921,-23,15,Schulze_etal,1996
Welwitschia mirabilis,CAM,-21.598,NA,14.2058948697992,-23,15,Schulze_etal,1996
Diastella divaricata,C3,-26.16,NA,18.2650941546322,-33.5,18.5,Lamont_etal,2002
Leucadendron laureolum,C3,-26.105,NA,18.2100941546322,-33.5,18.5,Lamont_etal,2002
Leucadendron xanthoconus,C3,-26.95,NA,19.0550941546322,-33.5,18.5,Lamont_etal,2002
Leucospermum conocarpodendron,C3,-25.8,NA,17.9050941546322,-33.5,18.5,Lamont_etal,2002
Leucospermum hypophyllocarpodendron,C3,-27.09,NA,19.1950941546322,-33.5,18.5,Lamont_etal,2002
Mimetes fimbriifolius,C3,-27.525,NA,19.6300941546322,-33.5,18.5,Lamont_etal,2002
Protea speciosa,C3,-25.445,NA,17.5500941546322,-33.5,18.5,Lamont_etal,2002
Serruria hirsuta,C3,-25.83,NA,17.9350941546322,-33.5,18.5,Lamont_etal,2002
Leucadendron foedum,C3,-26.8,NA,18.9052272306812,-32.5,18.5,Lamont_etal,2002
Protea repens,C3,-24.075,NA,16.1802272306812,-32.5,18.5,Lamont_etal,2002
